129.150.32.0/19
138.2.64.0/19
138.2.96.0/20
152.69.208.0/20
158.178.224.0/20
158.178.240.0/21
168.138.160.0/19
129.148.176.0/22
129.148.180.0/25
129.148.184.0/22
134.70.128.0/22
140.91.56.0/23
140.204.54.128/25
207.127.109.192/26
64.110.64.0/19
129.154.192.0/19
130.162.128.0/19
131.186.16.0/20
132.145.80.0/20
132.226.16.0/21
132.226.168.0/21
132.226.224.0/20
140.238.0.0/19
146.56.32.0/20
146.56.128.0/18
152.70.36.0/22
152.70.88.0/21
152.70.232.0/21
152.70.240.0/20
193.122.96.0/19
193.123.224.0/19
134.70.96.0/22
140.91.40.0/23
140.204.24.128/25
146.56.61.192/26
192.29.20.0/22
192.29.24.0/21
131.186.32.0/20
131.186.56.0/21
132.145.112.0/20
132.226.0.0/20
138.2.0.0/19
138.3.208.0/20
140.83.32.0/21
140.238.32.0/19
141.147.160.0/19
150.230.96.0/20
150.230.192.0/19
152.70.96.0/20
155.248.160.0/19
158.101.64.0/19
158.101.128.0/19
168.138.192.0/19
193.123.160.0/20
134.70.80.0/22
140.91.32.0/23
140.204.8.128/25
146.56.127.192/26
192.29.36.0/22
192.29.40.0/21
64.110.96.0/20
64.110.112.0/21
138.2.32.0/19
140.83.48.0/20
140.83.80.0/21
141.147.144.0/20
150.230.0.0/21
150.230.56.0/21
152.69.192.0/20
152.70.80.0/21
168.138.32.0/19
129.149.63.192/26
134.70.112.0/22
140.91.48.0/23
140.204.30.128/25
192.29.240.0/22
192.29.248.0/21
140.238.192.0/20
150.230.8.0/21
152.67.96.0/19
152.69.160.0/20
152.70.228.0/22
168.138.96.0/20
192.9.160.0/19
129.148.0.0/21
129.148.156.0/22
134.70.92.0/22
140.91.38.0/23
140.204.20.128/25
192.29.144.0/23
192.29.148.0/23
192.29.151.0/24
192.29.152.0/22
192.29.158.0/23
207.127.107.192/26
